date,country,new_cases
2020-06-20,Egypt,1774.0
2022-01-26,Egypt,1809.0
2022-01-27,Egypt,1910.0
2022-01-28,Egypt,1985.0
2022-01-29,Egypt,2007.0
2022-01-30,Egypt,2018.0
2022-01-31,Egypt,2210.0
2022-02-01,Egypt,2223.0
2022-02-02,Egypt,2291.0
2022-02-03,Egypt,2278.0
2022-02-04,Egypt,2281.0
2022-02-05,Egypt,2291.0
2022-02-06,Egypt,2298.0
2022-02-07,Egypt,2301.0
2022-02-08,Egypt,2272.0
2022-02-09,Egypt,2194.0
2022-02-10,Egypt,2191.0
2022-02-11,Egypt,2189.0
2022-02-12,Egypt,2179.0
2022-02-13,Egypt,2145.0
2022-02-14,Egypt,2131.0
2022-02-15,Egypt,2129.0
2022-02-16,Egypt,2117.0
2022-02-17,Egypt,2101.0
2022-02-18,Egypt,2071.0
2022-02-19,Egypt,2053.0
2022-02-20,Egypt,2025.0
2022-02-21,Egypt,2009.0
2022-02-22,Egypt,2003.0
2022-02-23,Egypt,1989.0
2022-02-24,Egypt,1892.0
2022-02-25,Egypt,1832.0
2022-02-26,Egypt,1811.0
2022-02-27,Egypt,1743.0
2022-03-19,Egypt,5516.0
2022-03-26,Egypt,4375.0
2022-04-02,Egypt,3913.0
2022-04-09,Egypt,2800.0
