date,country,new_deaths
2020-06-15,Egypt,91.0
2020-06-16,Egypt,97.0
2020-06-17,Egypt,94.0
2020-06-18,Egypt,84.0
2020-06-19,Egypt,88.0
2020-06-20,Egypt,79.0
2020-06-21,Egypt,89.0
2020-06-22,Egypt,87.0
2020-06-23,Egypt,85.0
2020-06-24,Egypt,87.0
2020-06-25,Egypt,85.0
2020-06-26,Egypt,83.0
2020-06-27,Egypt,87.0
2020-06-28,Egypt,88.0
2020-06-29,Egypt,81.0
2020-06-30,Egypt,83.0
2020-07-01,Egypt,81.0
2020-07-02,Egypt,81.0
2020-07-03,Egypt,86.0
2020-07-04,Egypt,81.0
2020-07-05,Egypt,79.0
2020-07-07,Egypt,79.0
2020-07-09,Egypt,75.0
2020-07-11,Egypt,85.0
2020-07-13,Egypt,89.0
2020-07-14,Egypt,77.0
2022-03-19,Egypt,84.0
